Candidate index
83
Alderks, Jenne 26
Alvarado, Emily 40
Amamilo, Sharonda 67
Andrade, Alex 39
Angelis, Theo 66
Anito, Mary 41
Basler, Doug 21
Bergquist, Steve 28
Berry, Liz 43
Blomstrom, David W. 18
Bloomquist, Chris 33
Bloom, Todd A. 69
Brown, Tatiana 44
Calkins, Lindsay 74
Chaudhry, Melissa 21
Chen, Will 31
Christensen Colberg, Laura 63
Clendennin, Alby 49
Dams, Al 57
Davis, Lauren 34
Davis, Ron 52
Diaz, Mike 65
Dreher, Will 53
Duda, Nick 62
Duerr, Davina 24
Edwards, Scott 64
England, Jillian 42
Farivar, Darya 54
Fedan, Ashley 27
Fitzgibbon, Joe 41
Foxcurran, Rob 57
Frame, Noel C. 42
Georgakopoulos, Dimitri 72
Gregerson, Mia Su-Ling 38
Hackney, David 28
Hasegawa, Toshiko Grace 59
Hawk, Jaime Michelle 64
Jacobson, Mia 61
James, Silas 72
Jayapal, Pramila 18
Jenks, Nilu 73
Jones, Darryl K. 36
Kang, Julie 73
Kirkland, Gwen 19
Kloba, Shelley 25
Larson, Dave 67
Lyon, Jeff 25
Macri, Nicole 49
Marinchik, Yuri 38
Martinez, Chris 37
Mboya, Miriam 59
McBee, Ira 29
McCorkle, Evon 46
Melody, Colleen 63
Merchant, Karim A. 69
Miller, Greg 66
Moon, Cliff 26
Mosqueda, Teresa 61
Nand, Jenna 31
Newsom, Garmon 74
Noble, Danica 32
Obras, Edwin 36
Orwall, Tina L. 35
Pedersen, Jamie 48
Perasso, Jacob 20
Pollet, Gerry 52
Reed, Julia Grant 43
Rezac, Lisa 33
Roberts, Christopher 56
Rombough, Christian 27
Rothstein, Gabe 75
Ryu, Cindy 29
Sabio-Howell, Hannah 47
Saldaña, Rebecca 60
Salomon, Jesse 30
Santos, Sharon Tomiko 45
Sawant, Kshama 20
Scarimbolo, Dominique M 56
Scott, Jaelynn 46
Scott, Shaun 50
Scully, Keith 32
Shelvey, David R 68
Sheth, Nirav 19
Siddiqi, Imraan 34
Smith, Adam 22
Stephens, Debra L. 68
Stephens, Sandra 51
Stevens, David 65
Street, Chipalo 44
Tewolde, Kelabe 45
Thomas, Brianna K. 40
Thornley, Rodney ‘Star’ 54
Valdez, Javier 51
Wang, Maggie 24
Wilson, Heather-Marie 47
