Candidate index
95
Adams, Maggie 40
Alderks, Jenne 32
Alvarado, Emily 52
Amamilo, Sharonda 77
Andrade, Alex 51
Angelis, Theo 76
Anito, Mary 53
Arnold, Keith 24
Basler, Doug 27
Bennett, Michelle 34
Bergquist, Steve 37
Bielka, John 46
Blomstrom, David W. 21
Bloom, Todd A. 79
Bowyer, Tiffany 42
Burnett, Brian 38
Callan, Lisa 35
Chaudhry, Melissa 27
Christensen Colberg, Laura 73
Clark, Cobi 62
Cooke, Ted 64
Dams, Al 69
DelBene, Suzan 17
Dhingra, Manka 57
Diaz, Mike 75
Duda, Nick 72
Duerr, Davina 30
Edwards, Scott 74
Entenman, Debra Jean 63
Etzkorn, James 18
Evans, Logan 63
Fedan, Ashley 36
Fitzgibbon, Joe 53
Forsythe, Jessica 67
Fortunato, Phil 44
Foxcurran, Rob 69
Gibbons, John P 59
Goodman, Roger 58
Gordon, Hunter 19
Gregerson, Mia Su-Ling 50
Hackney, David 37
Hagglund, Bob 25
Hall, Zach 33
Hans, Jasnoor Kaur 62
Ha, Trinh 23
Hawk, Jaime Michelle 74
Hildebrand, Catherine 20
Jacobson, Mia 71
James, Adam 39
Jayapal, Pramila 21
Jones, Darryl K. 48
Kauffman, Claudia 61
Kincaid, Benjamin 17
Kirkland, Gwen 22
Kloba, Shelley 31
Kritzer, Vanessa 59
Larson, Dave 77
Leritz, Topher 33
Lyon, Jeff 31
Marinchik, Yuri 50
Martinez, Chris 49
McDaniel, Paul 43
Meline, Spencer 24
Melody, Colleen 73
Merchant, Karim A. 79
Miller, Greg 76
Moon, Cliff 32
Mosqueda, Teresa 71
Nguyen, Elle 54
Nickel, Bryce 18
Obras, Edwin 48
Orwall, Tina L. 47
Peacock, Patrick 35
Penner, Joshua 46
Perasso, Jacob 26
Poppe, Jeffery 66
Reeves, Kristine 43
Roberts, Christopher 68
Rombough, Christian 36
Rosen, Michael 56
Rutland, Michael 41
Salahuddin, Osman 66
Sawant, Kshama 26
Scarimbolo, Dominique M 68
Schaer, Josh 80
Schrier, Kim 23
Shelvey, David R 78
Sheth, Nirav 22
Silva, Mary 19
Slatter, Vandana 65
Smith, Adam 28
Soltys, Kristina 61
Stearns, Chris 64
Steele, Mike 39
Stephens, Debra L. 78
Stevens, David 75
Stokesbary, Drew 45
Stramel, Tamara 44
Szczurko-Walton, Stephen 45
Taylor, Jamila E. 42
Thai, My-Linh T 56
Thomas, Brianna K. 52
Tolentino, JoAnn 58
Torbett, Chandler 60
Trasen, Jan 80
Tse, Bianca 81
Tsimerman, Alex 55
Valleza, Andres 25
Walen, Amy 67
Wang, Maggie 30
Warmerdam, Aimee 34
Willoughby, Stacy 38
Wilson, Claire 41
Zahn, Janice 54
